Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scripts,,,,2023-05-30 18:14:20,2023-05-30 18:14:41,20.764s,PASSED
,,,,,,,
Test Cases/script,,,,2023-05-30 18:14:20,2023-05-30 18:14:31,11.236s,PASSED
"callTestCase(findTestCase(""BillPaymentProcess""), [:], STOP_ON_FAILURE)",,,,2023-05-30 18:14:20,2023-05-30 18:14:31,11.074s,PASSED
,,,,,,,
Test Cases/BillPaymentProcess,,,,2023-05-30 18:14:31,2023-05-30 18:14:41,9.349s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebservices/Activate client account""))",,,,2023-05-30 18:14:31,2023-05-30 18:14:33,1.906s,PASSED
"sourceId = sendRequestAndVerify(findTestObject(""RestWebservices/Create source account""))",,,,2023-05-30 18:14:33,2023-05-30 18:14:35,1.806s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2023-05-30 18:14:35,2023-05-30 18:14:35,0.001s,PASSED
result = slurper.parseText(sourceId.getResponseBodyContent()),,,,2023-05-30 18:14:35,2023-05-30 18:14:35,0.000s,PASSED
sourceIdValue = id,,,,2023-05-30 18:14:35,2023-05-30 18:14:35,0.000s,PASSED
"println(""..value extracted is :"" + sourceIdValue)",,,,2023-05-30 18:14:35,2023-05-30 18:14:35,0.000s,PASSED
"vendorId = sendRequestAndVerify(findTestObject(""RestWebservices/Create Vendor""))",,,,2023-05-30 18:14:35,2023-05-30 18:14:37,1.789s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2023-05-30 18:14:37,2023-05-30 18:14:37,0.000s,PASSED
result = slurper.parseText(vendorId.getResponseBodyContent()),,,,2023-05-30 18:14:37,2023-05-30 18:14:37,0.000s,PASSED
VendorIdValue = id,,,,2023-05-30 18:14:37,2023-05-30 18:14:37,0.000s,PASSED
"println(""..value extracted is :"" + VendorIdValue)",,,,2023-05-30 18:14:37,2023-05-30 18:14:37,0.000s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebservices/Create Vendor Account"", [""vendorId"":VendorIdValue]))",,,,2023-05-30 18:14:37,2023-05-30 18:14:39,1.941s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebservices/Create Payment Virtual"", [""vendorId"":VendorIdValue, ""sourceId"":sourceIdValue]))",,,,2023-05-30 18:14:39,2023-05-30 18:14:41,1.899s,PASSED
