Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scripts,,,,2023-05-30 18:15:27,2023-05-30 18:15:47,20.627s,PASSED
,,,,,,,
Test Cases/script,,,,2023-05-30 18:15:27,2023-05-30 18:15:39,11.508s,PASSED
"callTestCase(findTestCase(""BillPaymentProcess""), [:], STOP_ON_FAILURE)",,,,2023-05-30 18:15:27,2023-05-30 18:15:39,11.353s,PASSED
,,,,,,,
Test Cases/BillPaymentProcess,,,,2023-05-30 18:15:39,2023-05-30 18:15:47,8.920s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebservices/Activate client account""))",,,,2023-05-30 18:15:39,2023-05-30 18:15:41,2.219s,PASSED
"sourceId = sendRequestAndVerify(findTestObject(""RestWebservices/Create source account""))",,,,2023-05-30 18:15:41,2023-05-30 18:15:42,1.357s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2023-05-30 18:15:42,2023-05-30 18:15:42,0.000s,PASSED
result = slurper.parseText(sourceId.getResponseBodyContent()),,,,2023-05-30 18:15:42,2023-05-30 18:15:42,0.000s,PASSED
sourceIdValue = id,,,,2023-05-30 18:15:42,2023-05-30 18:15:42,0.001s,PASSED
"println(""..value extracted is :"" + sourceIdValue)",,,,2023-05-30 18:15:42,2023-05-30 18:15:42,0.000s,PASSED
"vendorId = sendRequestAndVerify(findTestObject(""RestWebservices/Create Vendor""))",,,,2023-05-30 18:15:42,2023-05-30 18:15:44,1.738s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2023-05-30 18:15:44,2023-05-30 18:15:44,0.000s,PASSED
result = slurper.parseText(vendorId.getResponseBodyContent()),,,,2023-05-30 18:15:44,2023-05-30 18:15:44,0.000s,PASSED
VendorIdValue = id,,,,2023-05-30 18:15:44,2023-05-30 18:15:44,0.001s,PASSED
"println(""..value extracted is :"" + VendorIdValue)",,,,2023-05-30 18:15:44,2023-05-30 18:15:44,0.000s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebservices/Create Vendor Account"", [""vendorId"":VendorIdValue]))",,,,2023-05-30 18:15:44,2023-05-30 18:15:46,1.780s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebservices/Create Payment Virtual"", [""vendorId"":VendorIdValue, ""sourceId"":sourceIdValue]))",,,,2023-05-30 18:15:46,2023-05-30 18:15:47,1.819s,PASSED
