Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
BillPaymentProcessSuite,,,,2023-05-29 19:17:34,2023-05-29 19:17:46,11.486s,PASSED
,,,,,,,
Test Cases/BillPaymentProcess,,,,2023-05-29 19:17:34,2023-05-29 19:17:46,11.340s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebservices/Activate client account""))",,,,2023-05-29 19:17:34,2023-05-29 19:17:38,3.121s,PASSED
"sourceId = sendRequestAndVerify(findTestObject(""RestWebservices/Create source account""))",,,,2023-05-29 19:17:38,2023-05-29 19:17:39,1.872s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2023-05-29 19:17:39,2023-05-29 19:17:39,0.000s,PASSED
result = slurper.parseText(sourceId.getResponseBodyContent()),,,,2023-05-29 19:17:39,2023-05-29 19:17:39,0.001s,PASSED
sourceIdValue = id,,,,2023-05-29 19:17:39,2023-05-29 19:17:39,0.001s,PASSED
"println(""..value extracted is :"" + sourceIdValue)",,,,2023-05-29 19:17:39,2023-05-29 19:17:39,0.003s,PASSED
"vendorId = sendRequestAndVerify(findTestObject(""RestWebservices/Create Vendor""))",,,,2023-05-29 19:17:39,2023-05-29 19:17:42,2.244s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2023-05-29 19:17:42,2023-05-29 19:17:42,0.000s,PASSED
result = slurper.parseText(vendorId.getResponseBodyContent()),,,,2023-05-29 19:17:42,2023-05-29 19:17:42,0.001s,PASSED
VendorIdValue = id,,,,2023-05-29 19:17:42,2023-05-29 19:17:42,0.001s,PASSED
"println(""..value extracted is :"" + VendorIdValue)",,,,2023-05-29 19:17:42,2023-05-29 19:17:42,0.000s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebservices/Create Vendor Account"", [""vendorId"":VendorIdValue]))",,,,2023-05-29 19:17:42,2023-05-29 19:17:44,1.857s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebservices/Create Payment Virtual"", [""vendorId"":VendorIdValue, ""sourceId"":sourceIdValue]))",,,,2023-05-29 19:17:44,2023-05-29 19:17:46,2.050s,PASSED
