Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scripts,,,,2023-05-30 19:28:52,2023-05-30 19:29:14,21.200s,PASSED
,,,,,,,
Test Cases/script,,,,2023-05-30 19:28:53,2023-05-30 19:29:04,11.537s,PASSED
"callTestCase(findTestCase(""BillPaymentProcess""), [:], STOP_ON_FAILURE)",,,,2023-05-30 19:28:53,2023-05-30 19:29:04,11.354s,PASSED
,,,,,,,
Test Cases/BillPaymentProcess,,,,2023-05-30 19:29:04,2023-05-30 19:29:14,9.467s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebservices/Activate client account""))",,,,2023-05-30 19:29:04,2023-05-30 19:29:06,1.972s,PASSED
"sourceId = sendRequestAndVerify(findTestObject(""RestWebservices/Create source account""))",,,,2023-05-30 19:29:06,2023-05-30 19:29:08,1.979s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2023-05-30 19:29:08,2023-05-30 19:29:08,0.000s,PASSED
result = slurper.parseText(sourceId.getResponseBodyContent()),,,,2023-05-30 19:29:08,2023-05-30 19:29:08,0.000s,PASSED
sourceIdValue = id,,,,2023-05-30 19:29:08,2023-05-30 19:29:08,0.000s,PASSED
"println(""..value extracted is :"" + sourceIdValue)",,,,2023-05-30 19:29:08,2023-05-30 19:29:08,0.000s,PASSED
"vendorId = sendRequestAndVerify(findTestObject(""RestWebservices/Create Vendor""))",,,,2023-05-30 19:29:08,2023-05-30 19:29:10,1.913s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2023-05-30 19:29:10,2023-05-30 19:29:10,0.000s,PASSED
result = slurper.parseText(vendorId.getResponseBodyContent()),,,,2023-05-30 19:29:10,2023-05-30 19:29:10,0.000s,PASSED
VendorIdValue = id,,,,2023-05-30 19:29:10,2023-05-30 19:29:10,0.000s,PASSED
"println(""..value extracted is :"" + VendorIdValue)",,,,2023-05-30 19:29:10,2023-05-30 19:29:10,0.000s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebservices/Create Vendor Account"", [""vendorId"":VendorIdValue]))",,,,2023-05-30 19:29:10,2023-05-30 19:29:12,1.751s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebservices/Create Payment Virtual"", [""vendorId"":VendorIdValue, ""sourceId"":sourceIdValue]))",,,,2023-05-30 19:29:12,2023-05-30 19:29:14,1.846s,PASSED
