Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scripts,,,,2023-05-30 20:17:17,2023-05-30 20:17:38,21.424s,PASSED
,,,,,,,
Test Cases/script,,,,2023-05-30 20:17:17,2023-05-30 20:17:28,11.257s,PASSED
"callTestCase(findTestCase(""BillPaymentProcess""), [:], STOP_ON_FAILURE)",,,,2023-05-30 20:17:17,2023-05-30 20:17:28,11.070s,PASSED
,,,,,,,
Test Cases/BillPaymentProcess,,,,2023-05-30 20:17:28,2023-05-30 20:17:38,9.957s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebservices/Activate client account""))",,,,2023-05-30 20:17:28,2023-05-30 20:17:30,2.170s,PASSED
"sourceId = sendRequestAndVerify(findTestObject(""RestWebservices/Create source account""))",,,,2023-05-30 20:17:30,2023-05-30 20:17:32,1.928s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2023-05-30 20:17:32,2023-05-30 20:17:32,0.000s,PASSED
result = slurper.parseText(sourceId.getResponseBodyContent()),,,,2023-05-30 20:17:32,2023-05-30 20:17:32,0.000s,PASSED
sourceIdValue = id,,,,2023-05-30 20:17:32,2023-05-30 20:17:32,0.001s,PASSED
"println(""..value extracted is :"" + sourceIdValue)",,,,2023-05-30 20:17:32,2023-05-30 20:17:32,0.000s,PASSED
"vendorId = sendRequestAndVerify(findTestObject(""RestWebservices/Create Vendor""))",,,,2023-05-30 20:17:32,2023-05-30 20:17:34,2.094s,PASSED
slurper = new groovy.json.JsonSlurper(),,,,2023-05-30 20:17:34,2023-05-30 20:17:34,0.000s,PASSED
result = slurper.parseText(vendorId.getResponseBodyContent()),,,,2023-05-30 20:17:34,2023-05-30 20:17:34,0.000s,PASSED
VendorIdValue = id,,,,2023-05-30 20:17:34,2023-05-30 20:17:34,0.000s,PASSED
"println(""..value extracted is :"" + VendorIdValue)",,,,2023-05-30 20:17:34,2023-05-30 20:17:34,0.000s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebservices/Create Vendor Account"", [""vendorId"":VendorIdValue]))",,,,2023-05-30 20:17:34,2023-05-30 20:17:36,1.909s,PASSED
"sendRequestAndVerify(findTestObject(""RestWebservices/Create Payment Virtual"", [""vendorId"":VendorIdValue, ""sourceId"":sourceIdValue]))",,,,2023-05-30 20:17:36,2023-05-30 20:17:38,1.850s,PASSED
